pickup_date,taxi_type,payment_type_name,trip_count,total_passengers,total_distance,total_fare_amount,total_amount,avg_trip_distance,avg_fare_amount
2022-01-16,yellow,credit_card,55763,81218,183952.12999999998,718051.5999999997,1098751.2200000165,3.2988205440883736,12.87684665459175
2022-01-16,yellow,dispute,83,98,281.70000000000005,1032.0,1311.8000000000002,3.3939759036144586,12.433734939759036
2022-01-16,yellow,flex_fare,2543,,97287.67000000004,39464.67999999997,55891.82999999999,38.257046795123884,15.518946126622088
2022-01-16,yellow,no_charge,250,278,698.0,2648.8599999999997,3464.0100000000007,2.792,10.595439999999998
2022-01-16,yellow,unknown,1,1,2.0,8.5,11.8,2.0,8.5
2022-01-17,yellow,cash,11945,16869,42332.35000000001,160713.63,204500.0399999951,3.5439388865634167,13.454468815403935
2022-01-17,yellow,credit_card,49109,68230,185788.1600000001,694408.8699999996,1052310.0400000177,3.7831794579405016,14.140154961412362
2022-01-17,yellow,dispute,88,102,315.09999999999997,1057.51,1316.46,3.5806818181818176,12.017159090909091
2022-01-17,yellow,flex_fare,1595,,86453.34000000008,26050.51,36738.48000000001,54.20272100313485,16.332608150470218
2022-01-17,yellow,no_charge,219,239,646.1000000000001,2604.0,3357.2,2.9502283105022835,11.89041095890411
2022-01-18,yellow,cash,16972,23051,51150.139999999985,213540.21,277134.1099999972,3.0137956634456744,12.581911972660853
2022-01-18,yellow,credit_card,64585,86119,196456.2899999997,822719.4399999995,1277034.6300000036,3.0418253464426677,12.738552914763481
2022-01-18,yellow,dispute,97,108,314.4,1423.01,1790.81,3.2412371134020614,14.670206185567011
2022-01-18,yellow,flex_fare,2061,,168475.74999999994,37264.68999999999,50000.92999999999,81.74466278505577,18.080878214458995
2022-01-18,yellow,no_charge,271,269,737.5000000000001,3085.0,4007.050000000001,2.7214022140221408,11.383763837638377
2022-01-19,yellow,cash,17598,23905,50457.24,215242.52,280548.159999999,2.867214456188203,12.231078531651324
2022-01-19,yellow,credit_card,65991,88073,183999.77000000008,799751.9099999996,1250694.9799999953,2.7882555196920804,12.119105787152787
2022-01-19,yellow,dispute,90,89,288.5,1163.31,1487.7100000000003,3.2055555555555557,12.925666666666666
2022-01-19,yellow,flex_fare,2000,,77663.13999999996,35414.69999999998,47240.03000000001,38.83156999999998,17.70734999999999
2022-01-19,yellow,no_charge,279,288,767.3,3408.8200000000006,4366.519999999999,2.750179211469534,12.21799283154122
2022-01-20,yellow,cash,16552,22688,48463.57,203612.27,266056.66999999795,2.927958554857419,12.301369623006282
2022-01-20,yellow,credit_card,70639,94292,195504.86000000004,844492.7799999992,1327101.719999985,2.7676617732414113,11.95505004317727
2022-01-20,yellow,dispute,127,144,328.40000000000003,1607.57,2066.4200000000005,2.5858267716535437,12.658031496062991
2022-01-20,yellow,flex_fare,2495,,529027.7700000003,43293.819999999985,58730.31,212.03517835671352,17.352232464929855
2022-01-20,yellow,no_charge,319,316,842.1999999999999,3462.77,4639.22,2.6401253918495295,10.855078369905955
2022-01-21,yellow,cash,18180,25244,50541.36000000001,219021.78,287232.19999999646,2.7800528052805284,12.047402640264027
2022-01-21,yellow,credit_card,78516,107555,213194.57000000033,939782.6699999991,1476651.439999998,2.715300957766574,11.96931415252941
2022-01-21,yellow,dispute,125,138,356.9,1469.01,1950.1600000000003,2.8552,11.75208
2022-01-21,yellow,flex_fare,3225,,159449.14999999994,54409.57999999995,74130.82999999999,49.441596899224784,16.871187596899208
2022-01-21,yellow,no_charge,343,357,786.9000000000001,3675.0299999999997,4943.83,2.2941690962099126,10.714373177842566
2022-01-22,yellow,cash,16650,24276,49061.38000000002,203849.02999999997,262529.6199999966,2.9466294294294304,12.243184984984984
2022-01-22,yellow,credit_card,75850,110413,212665.57999999987,903002.3299999997,1395234.3000000017,2.8037650626235977,11.90510652603823
2022-01-22,yellow,dispute,114,148,297.6000000000001,1282.3,1847.4000000000003,2.6105263157894742,11.248245614035087
2022-01-22,yellow,flex_fare,2947,,48162.530000000006,44131.85999999998,62722.41000000001,16.342901255514086,14.975181540549704
2022-01-22,yellow,no_charge,289,303,623.9999999999999,3130.0,4065.1500000000005,2.15916955017301,10.83044982698962
2022-01-23,yellow,cash,13567,19464,45853.27000000001,178301.94,226825.8199999964,3.3797648706419996,13.142326232770694
2022-01-23,yellow,credit_card,60122,86209,206956.75000000038,805165.6599999998,1222372.190000013,3.4422798642759784,13.392196866371707
2022-01-23,yellow,dispute,118,150,273.5,1418.54,1793.0900000000001,2.3177966101694913,12.021525423728812
2022-01-23,yellow,flex_fare,2305,,8431.17,36660.499999999985,51820.07,3.657774403470716,15.904772234273313
2022-01-23,yellow,no_charge,225,253,683.8999999999999,2987.51,3756.8100000000004,3.039555555555555,13.277822222222223
2022-01-24,yellow,cash,15983,21801,48098.270000000026,198595.63,258102.36999999572,3.009339298004131,12.425428893199024
2022-01-24,yellow,credit_card,59553,78800,180132.09000000008,750854.4399999995,1165504.0500000084,3.0247357815727183,12.608171544674484
2022-01-24,yellow,dispute,112,118,301.79999999999995,1293.5,1690.4500000000003,2.6946428571428567,11.549107142857142
2022-01-24,yellow,flex_fare,2014,,32412.68000000002,35168.15999999998,47113.22,16.093684210526327,17.461847070506447
2022-01-24,yellow,no_charge,269,258,681.0999999999999,2819.81,3736.160000000001,2.531970260223048,10.482565055762082
2022-01-25,yellow,cash,16737,22910,47601.70999999999,204344.74,266243.0599999962,2.844100495907271,12.209161737467886
2022-01-25,yellow,credit_card,67409,90140,186083.63999999975,809433.7299999993,1268451.999999998,2.760516251539108,12.007799106944166
2022-01-25,yellow,dispute,90,101,251.8,1125.51,1432.01,2.7977777777777777,12.505666666666666
2022-01-25,yellow,flex_fare,2184,,8380.109999999999,38572.96999999998,51293.01,3.8370467032967026,17.66161630036629
2022-01-25,yellow,no_charge,283,275,639.7,3049.8,3995.35,2.2604240282685515,10.776678445229683
2022-01-26,yellow,cash,17926,24489,49474.709999999985,216602.68,283173.70999999804,2.759941425861876,12.083157424969318
2022-01-26,yellow,credit_card,75205,99801,199310.14000000007,894894.4299999994,1403957.9899999835,2.6502245861312423,11.899400704740367
2022-01-26,yellow,dispute,136,140,294.59999999999997,1352.01,1800.4600000000003,2.166176470588235,9.94125
2022-01-26,yellow,flex_fare,2396,,227498.19999999992,42188.83999999998,56496.16000000001,94.94916527545907,17.608030050083464
2022-01-26,yellow,no_charge,301,287,695.3,3143.0,4244.350000000001,2.3099667774086377,10.44186046511628
2022-01-27,yellow,cash,18301,25034,51753.71000000004,232757.74,300922.94000000134,2.8279170537129144,12.71830719632807
2022-01-27,yellow,credit_card,77589,103248,216293.17000000016,983909.1599999997,1525002.649999963,2.7876782791375088,12.681039322584382
2022-01-27,yellow,dispute,122,147,370.79999999999995,1607.01,2027.5100000000007,3.0393442622950815,13.172213114754099
2022-01-27,yellow,flex_fare,2709,,87103.39000000009,48075.14999999997,65016.9,32.15333702473241,17.746456256921363
2022-01-27,yellow,no_charge,347,348,805.5999999999999,3838.0299999999997,5032.929999999998,2.321613832853026,11.060605187319885
2022-01-28,yellow,cash,17538,24494,52029.60000000004,234033.36,300533.7500000053,2.9666780704755413,13.34435853575094
2022-01-28,yellow,credit_card,73348,100777,208369.19000000018,956542.2799999998,1475627.839999951,2.840829879478652,13.041150133609639
2022-01-28,yellow,dispute,131,142,284.5,1296.0,1754.9000000000003,2.1717557251908395,9.893129770992367
2022-01-28,yellow,flex_fare,3825,,339257.66,67616.90000000002,92557.67,88.69481307189542,17.677620915032687
2022-01-28,yellow,no_charge,328,322,820.7999999999998,3879.0299999999997,5043.479999999998,2.5024390243902435,11.826310975609756
2022-01-29,yellow,cash,5027,7215,12568.490000000003,55669.31,72803.9099999997,2.5001969365426704,11.07406206484981
2022-01-29,yellow,credit_card,24568,35252,57854.57999999998,263034.22000000003,420355.14000000537,2.3548754477368927,10.706374959296648
2022-01-29,yellow,dispute,46,58,155.6,665.0,827.8000000000001,3.382608695652174,14.456521739130435
2022-01-29,yellow,flex_fare,4372,,623945.8200000001,72423.91000000003,102119.09999999995,142.71404849039342,16.565395699908517
2022-01-29,yellow,no_charge,115,124,201.89999999999998,1120.02,1495.3200000000004,1.7556521739130433,9.739304347826087
2022-01-30,yellow,cash,12069,17251,43416.140000000014,167841.24999999997,210812.41999999672,3.597327036208469,13.906806694838012
2022-01-30,yellow,credit_card,54099,77756,187207.5199999999,733358.3399999999,1111641.1000000138,3.460461746058151,13.555857594410245
2022-01-30,yellow,dispute,84,106,223.0,896.51,1160.5100000000002,2.6547619047619047,10.672738095238095
2022-01-30,yellow,flex_fare,4217,,287791.1100000001,70637.18,99266.92999999995,68.24546122836142,16.750576239032487
2022-01-30,yellow,no_charge,240,253,682.4,3196.84,3911.09,2.8433333333333333,13.320166666666667
2022-01-31,yellow,cash,16327,22334,54693.480000000054,225484.68000000002,286451.7200000008,3.3498793409689505,13.810539596986589
2022-01-31,yellow,credit_card,65021,87107,211740.03000000017,887745.5999999995,1358102.2399999828,3.2564868273327106,13.65321357715199
2022-01-31,yellow,dispute,113,140,325.0,1286.51,1662.6600000000003,2.8761061946902653,11.38504424778761
2022-01-31,yellow,flex_fare,3476,,486202.64999999997,64713.02000000001,86903.83999999998,139.87418009205982,18.61709436133487
2022-01-31,yellow,no_charge,297,326,693.8999999999999,3646.52,4632.2699999999995,2.336363636363636,12.277845117845118
